# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5] c_myrdfs[6] c_myrdfs[7]
100000 250
209 10.008 0.999089 140.442 1.00016 280.874 0.99947 280.916
210 10.056 1.00028 142.479 1.00172 284.958 1.00004 284.996
211 10.104 1.00407 144.543 1.00414 289.09 1.00176 289.123
212 10.152 0.99656 146.611 1.00387 293.26 0.998093 293.273
213 10.2 1.00339 148.713 1.00381 297.47 1.00086 297.474
214 10.248 1.00545 150.839 1.00296 301.716 0.99982 301.711
215 10.296 1.0008 152.975 1.0032 306.002 1.00149 305.995
216 10.344 1.0039 155.138 1.00221 310.325 0.999192 310.308
217 10.392 0.996656 157.305 1.00043 314.68 1.00156 314.672
218 10.44 1.00091 159.501 1.00182 319.081 1.00098 319.074
219 10.488 1.00301 161.723 1.00249 323.526 1.00139 323.519
220 10.536 1.00102 163.96 1.0036 328.017 1.00073 328.001
221 10.584 1.00318 166.223 1.00102 332.537 1.00104 332.525
222 10.632 1.00534 168.511 0.999179 337.089 1.00127 337.092
223 10.68 1.00239 170.813 1.00397 341.705 1.00019 341.695
224 10.728 1.00395 173.14 1.00337 346.36 0.998441 346.332
225 10.776 1.00097 175.48 1.00139 351.047 1.00184 351.026
226 10.824 1.00203 177.844 1.00202 355.779 1.00072 355.756
227 10.872 1.00371 180.232 1.00326 360.559 1.00285 360.539
228 10.92 1.00356 182.642 1.00001 365.366 0.999283 365.347
229 10.968 1.00637 185.079 1.00108 370.22 1.00043 370.203
230 11.016 1.01021 187.548 1.00201 375.122 1.00053 375.101
231 11.064 1.00716 190.03 1.00018 380.057 1.00099 380.045
232 11.112 1.00182 192.521 1.00131 385.041 1.00135 385.034
233 11.16 1.00129 195.032 1.00057 390.064 1.00208 390.07
234 11.208 1.00781 197.581 1.00036 395.129 1.00121 395.144
235 11.256 1.00606 200.147 0.999339 400.233 1.00092 400.261
236 11.304 1.00336 202.729 1.00019 405.384 1.00101 405.422
237 11.352 1.00243 205.33 1.00075 410.583 0.998948 410.616
238 11.4 1.00342 207.955 1.00016 415.822 0.999214 415.856
239 11.448 1.00237 210.6 1.00018 421.106 0.999678 421.142
240 11.496 1.00165 213.266 1.00193 426.443 0.999322 426.47
241 11.544 1.00019 215.949 1.0012 431.821 1.00114 431.853
242 11.592 1.00254 218.662 1.00012 437.238 1.00206 437.286
243 11.64 1.00065 221.392 1.00205 442.711 1.00201 442.764
244 11.688 1.00216 224.148 1.00234 448.23 1.00083 448.281
245 11.736 1.00281 226.929 1.00316 453.8 0.999616 453.836
246 11.784 0.999696 229.724 0.998928 459.391 0.999237 459.434
247 11.832 1.00121 232.546 1.00135 465.042 0.998533 465.075
248 11.88 1.00248 235.395 1.00102 470.736 0.999296 470.765
249 11.928 1.00505 238.274 1.00284 476.488 0.999749 476.504
250 11.976 1.00348 241.172 1.00194 482.28 0.9997 482.289
150000 250
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0.000161092 1.30208e-05 8.04674e-05 6.51042e-06
31 1.464 0 0 0.000602811 6.51042e-05 0.00587167 0.000514323
32 1.512 0 0 0.00183673 0.000234375 0.0480612 0.00494792
33 1.56 0 0 0.00451271 0.000677083 0.212819 0.0258464
34 1.608 0 0 0.0130543 0.00203776 0.561037 0.0843815
35 1.656 0 0 0.0259717 0.00490885 1.00543 0.195638
36 1.704 0 0 0.051172 0.0108984 1.37707 0.356979
37 1.752 0 0 0.0887104 0.021875 1.565 0.550814
38 1.8 0 0 0.149642 0.0414193 1.55382 0.753952
39 1.848 0 0 0.228655 0.0728971 1.39653 0.946393
40 1.896 0 0 0.338394 0.121934 1.15023 1.11324
41 1.944 0 0 0.455185 0.191276 0.937873 1.25625
42 1.992 0 0 0.597542 0.286855 0.749196 1.3762
43 2.04 0 0 0.726969 0.408809 0.58521 1.47447
44 2.088 0 0 0.862783 0.560436 0.459467 1.5553
45 2.136 0 0 0.996801 0.743763 0.366199 1.62271
46 2.184 0 0 1.12812 0.960671 0.309789 1.68234
47 2.232 0 0 1.20445 1.20255 0.252982 1.73319
48 2.28 0 0 1.27631 1.46999 0.225775 1.78055
49 2.328 0 0 1.33747 1.76218 0.200395 1.82437
50 2.376 0 0 1.32778 2.06434 0.189007 1.86742
51 2.424 0.00176091 0.000208333 1.31876 2.37669 0.184013 1.91105
52 2.472 0.0284668 0.00371094 1.29189 2.69491 0.192673 1.95855
53 2.52 0.183501 0.0271745 1.23266 3.01045 0.212514 2.01301
54 2.568 0.662987 0.115208 1.16737 3.32077 0.24756 2.07888
55 2.616 1.48905 0.320391 1.0778 3.61809 0.284252 2.15737
56 2.664 2.37579 0.659883 0.985644 3.90005 0.339671 2.25464
57 2.712 2.90913 1.0907 0.902182 4.16753 0.404449 2.37466
58 2.76 3.03906 1.55684 0.832678 4.42321 0.489189 2.52502
59 2.808 2.83287 2.00659 0.774999 4.66953 0.586488 2.71161
60 2.856 2.40801 2.40207 0.739248 4.91259 0.695837 2.94062
61 2.904 1.97656 2.7377 0.727155 5.15978 0.81725 3.2187
62 2.952 1.60877 3.01997 0.709687 5.40907 0.94933 3.5525
63 3 1.34969 3.26456 0.706738 5.66546 1.10303 3.95305
64 3.048 1.14275 3.47832 0.719911 5.93506 1.24224 4.41871
65 3.096 0.999512 3.67122 0.734663 6.21891 1.37893 4.95201
66 3.144 0.917804 3.85389 0.758185 6.52101 1.48117 5.54275
67 3.192 0.869655 4.0323 0.783966 6.84299 1.53581 6.17413
68 3.24 0.830218 4.20779 0.816513 7.1885 1.56809 6.83832
