# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5]
100000 250
170 8.136 0.95936 73.6533 1.03008 74.1739
171 8.184 0.926247 74.8756 1.0134 75.5111
172 8.232 0.945854 76.1383 1.04073 76.9006
173 8.28 0.973172 77.4528 1.03734 78.3017
174 8.328 0.986788 78.8011 1.0185 79.6933
175 8.376 0.972295 80.145 1.02495 81.11
176 8.424 0.981909 81.5178 1.01767 82.5328
177 8.472 0.959028 82.8739 1.05057 84.0183
178 8.52 0.982049 84.2783 1.05897 85.5328
179 8.568 0.972997 85.6856 1.03062 87.0233
180 8.616 1.00055 87.1489 1.0298 88.5294
181 8.664 0.987994 88.61 1.0064 90.0178
182 8.712 0.98754 90.0867 1.02395 91.5489
183 8.76 1.00578 91.6072 1.00431 93.0672
184 8.808 1.03192 93.1844 1.01738 94.6222
185 8.856 1.01573 94.7539 1.00387 96.1733
186 8.904 0.985602 96.2933 0.988092 97.7167
187 8.952 0.998637 97.87 0.998637 99.2933
188 9 0.986621 99.4444 0.989754 100.873
189 9.048 1.00408 101.064 0.994092 102.476
190 9.096 1.0535 102.781 1.00067 104.107
191 9.144 1.02965 104.477 0.994239 105.745
192 9.192 1.00825 106.156 0.993561 107.399
193 9.24 1.01398 107.861 1.02092 109.116
194 9.288 0.995683 109.553 0.989799 110.798
195 9.336 1.02559 111.314 0.984177 112.488
196 9.384 1.06252 113.158 1.02377 114.264
197 9.432 1.01464 114.936 1.00006 116.017
198 9.48 1.02699 116.754 1.00283 117.793
199 9.528 1.0061 118.554 0.96883 119.526
200 9.576 1.03049 120.416 1.02095 121.37
201 9.624 1.03941 122.312 1.00136 123.197
202 9.672 1.0237 124.199 0.986015 125.014
203 9.72 1.03659 126.128 0.976301 126.832
204 9.768 1.0016 128.011 1.01697 128.743
205 9.816 1.03895 129.983 0.98276 130.609
206 9.864 1.00423 131.908 0.985391 132.498
207 9.912 1.03471 133.911 1.0261 134.484
208 9.96 0.997756 135.861 1.01737 136.472
209 10.008 1.01524 137.864 1.02256 138.49
210 10.056 0.983258 139.823 0.985768 140.454
211 10.104 1.01758 141.87 1.01399 142.493
212 10.152 1.01728 143.936 1.00223 144.528
213 10.2 1.0305 146.048 1.02508 146.629
214 10.248 1.0308 148.181 1.02248 148.745
215 10.296 1.02627 150.324 0.998869 150.831
216 10.344 1.00016 152.432 1.01439 152.969
217 10.392 1.00687 154.574 0.99695 155.091
218 10.44 0.992978 156.707 1.03437 157.312
219 10.488 1.02031 158.918 1.01057 159.502
220 10.536 1.0057 161.117 1.0278 161.749
221 10.584 0.980743 163.282 1.01699 163.994
222 10.632 1.01257 165.537 0.988621 166.196
223 10.68 1.01536 167.818 1.02599 168.501
224 10.728 0.994529 170.073 1.01487 170.802
225 10.776 1.02381 172.416 0.991274 173.07
226 10.824 0.987075 174.694 1.02871 175.444
227 10.872 1.02585 177.083 0.97981 177.726
228 10.92 1.00669 179.448 1.00338 180.083
229 10.968 1.0429 181.919 0.98969 182.429
230 11.016 1.00269 184.317 1.00037 184.821
231 11.064 0.996087 186.719 0.979962 187.184
232 11.112 1.0245 189.211 0.977451 189.562
233 11.16 0.984458 191.627 0.981967 191.971
234 11.208 1.01982 194.151 0.998492 194.442
235 11.256 1.0394 196.745 0.956386 196.829
236 11.304 0.995507 199.251 0.982487 199.303
237 11.352 0.996953 201.782 0.977478 201.784
238 11.4 1.02503 204.407 1.01027 204.371
239 11.448 0.979227 206.935 0.999238 206.951
240 11.496 1.01545 209.579 1.01075 209.583
241 11.544 1.01845 212.253 0.996865 212.2
242 11.592 1.01948 214.952 1.00227 214.853
243 11.64 1.01213 217.653 0.988815 217.493
244 11.688 1.02881 220.422 0.975343 220.118
245 11.736 1.00997 223.163 0.998296 222.827
246 11.784 0.985306 225.858 0.991398 225.539
247 11.832 1.00331 228.626 0.970278 228.215
248 11.88 0.997019 231.398 0.96585 230.901
249 11.928 1.03242 234.292 1.00427 233.716
250 11.976 0.999384 237.116 0.969106 236.454
